Make,Model,Year,Front Wheel Size (in),SAE Net Horsepower @ RPM,Displacement,Engine Type,"Width, Max w/o mirrors (in)","Height, Overall (in)","Length, Overall (in)",Gas Mileage,Drivetrain,Passenger Capacity,Passenger Doors,Body Style,MSRP
Jaguar,F-Pace,2019,19,180,20,4,76,65,186,26,AWD,5,4,SUV,48
Jaguar,F-Pace,2020,18,240,20,4,76,65,186,22,AWD,5,4,SUV,45
Jaguar,F-Type,2014,18,340,30,6,75,51,176,20,RWD,2,2,Convertible,69
Jaguar,F-Type,2015,18,340,30,6,75,51,176,20,RWD,2,2,Convertible,69
Jaguar,F-Type,2016,20,560,50,8,75,50,178,nan,RWD,2,2,Convertible,165
Jaguar,F-Type,2017,18,340,30,6,75,51,176,20,RWD,2,2,Convertible,66
Jaguar,F-Type,2020,20,290,20,4,75,51,176,23,RWD,2,2,Convertible,74
Jaguar,I-Pace,2019,20,390,nan,nan,74,61,184,nan,AWD,5,4,SUV,85
Jaguar,I-Pace,2020,20,390,nan,nan,74,61,184,nan,AWD,5,4,SUV,80
Jaguar,XE,2017,17,180,20,4,72,55,183,30,AWD,5,4,4dr,38
Jaguar,XE,2019,17,180,20,4,77,56,183,30,AWD,5,4,4dr,41
Jaguar,XE,2020,18,290,20,4,77,56,184,22,AWD,5,4,4dr,46
Jaguar,XF,2011,18,380,50,8,75,57,195,16,RWD,5,4,4dr,52
Jaguar,XF,2012,18,380,50,8,75,57,195,16,RWD,5,4,4dr,53
Jaguar,XF,2013,18,240,20,4,- ,57,195,19,RWD,5,4,4dr,46
Jaguar,XF,2014,18,240,20,4,71,57,195,19,RWD,5,4,4dr,46
Jaguar,XF,2015,18,240,20,4,71,57,195,19,RWD,5,4,4dr,50
Jaguar,XF,2016,18,340,30,6,74,57,195,20,AWD,5,4,4dr,54
Jaguar,XF,2017,18,180,20,4,78,57,195,30,AWD,5,4,4dr,51
Jaguar,XF,2019,18,180,20,4,78,57,195,30,AWD,5,4,4dr,54
Jaguar,XF,2020,18,240,20,4,78,57,195,23,AWD,5,4,4dr,54
Jaguar,XJ,2010,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jaguar,XJ,2011,19,380,50,8,74,57,201,16,RWD,5,4,4dr,72
Jaguar,XJ,2012,19,380,50,8,74,57,201,16,RWD,5,4,4dr,73
Jaguar,XJ,2013,19,340,30,6,83,57,201,16,RWD,5,4,4dr,76
Jaguar,XJ,2014,19,340,30,6,74,57,201,16,AWD,5,4,4dr,77
Jaguar,XJ,2015,19,340,30,6,74,57,201,16,AWD,5,4,4dr,77
Jaguar,XJ,2017,19,340,30,6,74,57,202,17,AWD,5,4,4dr,77
Jaguar,XJ,2019,20,470,50,8,76,57,206,15,RWD,5,4,4dr,85
Jeep,Cherokee,1999,15,120,25,4,69,63,167,21,RWD,5,2,SUV,16
Jeep,Cherokee,2000,15,120,25,4,69,63,167,20,RWD,5,2,SUV,16
Jeep,Cherokee,2001,15,190,40,6,69,63,167,17,RWD,5,2,SUV,17
Jeep,Cherokee,2014,18,180,24,4,73,66,182,21,4WD,5,4,SUV,26
Jeep,Cherokee,2015,17,180,24,4,73,66,182,21,4WD,5,4,SUV,27
Jeep,Cherokee,2016,18,180,24,4,73,66,nan,21,4WD,5,4,SUV,27
Jeep,Cherokee,2017,18,180,24,4,73,66,182,21,4WD,5,4,SUV,27
Jeep,Cherokee,2019,18,180,24,4,73,66,182,21,4WD,5,4,SUV,28
Jeep,Compass,2011,17,170,24,4,69,65,173,22,4WD,5,4,SUV,20
Jeep,Compass,2012,17,170,24,4,69,65,173,21,4WD,5,4,SUV,23
Jeep,Compass,2013,17,170,24,4,69,65,173,21,4WD,5,4,SUV,23
Jeep,Compass,2014,17,170,24,4,71,65,175,21,4WD,5,4,SUV,24
Jeep,Compass,2015,18,170,24,4,71,65,175,21,4WD,5,4,SUV,20
Jeep,Compass,2017,18,170,24,4,71,65,175,20,4WD,5,4,SUV,21
Jeep,Compass,2019,18,180,24,4,73,64,173,22,4WD,5,4,SUV,25
Jeep,Compass,2020,18,180,24,4,73,64,173,22,4WD,5,4,SUV,25
Jeep,Gladiator,2020,18,280,36,6,73,73,218,17,4WD,5,4,Pickup,40
Jeep,Grand Cherokee,2011,20,290,36,6,76,69,189,16,4WD,5,4,SUV,32
Jeep,Grand Cherokee,2012,17,290,36,6,76,69,189,16,4WD,5,4,SUV,29
Jeep,Grand Cherokee,2013,17,290,36,6,76,69,189,16,4WD,5,4,SUV,29
Jeep,Grand Cherokee,2014,20,290,36,6,76,69,189,17,4WD,5,4,SUV,31
Jeep,Grand Cherokee,2015,20,290,36,6,76,69,189,17,4WD,5,4,SUV,31
Jeep,Grand Cherokee,2016,18,290,36,6,76,69,189,18,4WD,5,4,SUV,32
Jeep,Grand Cherokee,2017,18,290,36,6,76,69,189,19,RWD,5,4,SUV,30
Jeep,Grand Cherokee,2019,20,290,36,6,76,69,189,19,RWD,5,4,SUV,32
Jeep,Grand Cherokee,2020,20,290,36,6,76,69,189,19,RWD,5,4,SUV,32
Jeep,Renegade,2015,16,160,14,4,74,66,166,24,4WD,5,4,SUV,23
Jeep,Renegade,2016,18,160,14,4,74,66,166,24,4WD,5,4,SUV,23
Jeep,Renegade,2017,18,160,14,4,74,66,166,24,4WD,5,4,SUV,23
Jeep,Renegade,2019,17,180,24,4,74,66,166,21,4WD,5,4,SUV,25
Jeep,Renegade,2020,17,180,24,4,74,66,166,21,4WD,5,4,SUV,25
Jeep,Wrangler,2011,18,200,38,6,73,- ,152,15,4WD,4,2,SUV,28
Jeep,Wrangler,2012,17,280,36,6,73,70,152,17,4WD,4,2,SUV,27
Jeep,Wrangler,2013,17,280,36,6,73,70,152,17,4WD,4,2,SUV,22
Jeep,Wrangler,2014,18,280,36,6,73,72,163,nan,4WD,4,2,SUV,28
Jeep,Wrangler,2015,18,280,36,6,73,72,163,nan,4WD,4,2,SUV,28
Jeep,Wrangler,2016,17,280,36,6,73,72,163,17,4WD,4,2,SUV,29
Jeep,Wrangler,2017,17,280,36,6,73,72,164,17,4WD,4,2,SUV,30
Jeep,Wrangler,2019,17,280,36,6,73,73,166,17,4WD,4,2,SUV,38
Jeep,Wrangler,2020,17,280,36,6,73,73,166,17,4WD,4,2,SUV,28
Kia,Cadenza,2014,19,290,33,6,72,58,195,19,FWD,5,4,4dr,42
Kia,Cadenza,2015,19,290,33,6,72,58,195,19,FWD,5,4,4dr,43
Kia,Cadenza,2016,18,290,33,6,72,58,195,19,FWD,5,4,4dr,32
Kia,Cadenza,2017,19,290,33,6,73,57,195,20,FWD,5,4,4dr,44
Kia,Cadenza,2019,19,290,33,6,73,57,195,20,FWD,5,4,4dr,44
Kia,Forte,2011,15,150,20,4,69,57,178,26,FWD,5,4,4dr,17
Kia,Forte,2012,15,150,20,4,69,57,178,26,FWD,5,4,4dr,17
Kia,Forte,2013,15,150,20,4,69,57,178,26,FWD,5,4,4dr,17
Kia,Forte,2014,16,170,20,4,70,56,179,24,FWD,5,4,4dr,19
Kia,Forte,2015,16,170,20,4,70,56,179,25,FWD,5,4,4dr,19
Kia,Forte,2016,17,170,20,4,70,56,179,24,FWD,5,4,4dr,19
Kia,Forte,2017,17,160,20,4,70,56,179,25,FWD,5,4,4dr,21
Kia,Forte,2019,17,140,20,4,70,56,182,30,FWD,5,4,4dr,21
Kia,Forte,2020,17,140,20,4,70,56,182,29,FWD,5,4,4dr,21
Kia,K900,2015,19,420,50,8,74,58,200,15,RWD,5,4,4dr,59
Kia,K900,2016,18,310,38,6,74,58,200,17,RWD,5,4,4dr,54
Kia,K900,2017,18,310,38,6,74,58,200,17,RWD,5,4,4dr,54
Kia,K900,2019,19,360,33,6,75,58,201,18,AWD,5,4,4dr,59
Kia,Niro,2017,16,130,16,4,71,60,171,51,FWD,5,4,SUV,25
Kia,Niro,2019,16,130,16,4,71,60,171,51,FWD,5,4,SUV,26
Kia,Niro,2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kia,Optima,2011,17,270,20,4,72,57,190,22,FWD,5,4,4dr,24
Kia,Optima,2012,17,270,20,4,72,57,190,22,FWD,5,4,4dr,25
Kia,Optima,2013,17,200,24,4,72,57,190,24,FWD,5,4,4dr,23
Kia,Optima,2014,17,190,24,4,72,57,190,23,FWD,5,4,4dr,23
Kia,Optima,2015,17,190,24,4,72,57,190,23,FWD,5,4,4dr,24
Kia,Optima,2016,17,180,24,4,73,57,191,24,FWD,5,4,4dr,25
Kia,Optima,2017,17,180,24,4,73,57,191,nan,FWD,5,4,4dr,25
Kia,Optima,2019,17,170,16,4,73,57,191,27,FWD,5,4,4dr,26
Kia,Rio,2011,14,110,16,4,66,57,166,28,FWD,5,4,4dr,12
Kia,Rio,2012,15,130,16,4,67,57,171,28,FWD,5,4,4dr,16
Kia,Rio,2013,15,130,16,4,67,57,171,28,FWD,5,4,4dr,16
Kia,Rio,2014,15,130,16,4,67,57,171,27,FWD,5,4,4dr,16
Kia,Rio,2015,15,130,16,4,67,57,171,27,FWD,5,4,4dr,16
Kia,Rio,2016,15,130,16,4,67,57,172,27,FWD,5,4,4dr,17
Kia,Rio,2017,15,130,16,4,67,57,172,27,FWD,5,4,4dr,17
Kia,Rio,2019,15,130,16,4,67,57,172,28,FWD,5,4,4dr,16
Kia,Rio,2020,15,120,16,4,67,57,172,33,FWD,5,4,4dr,15
Kia,Sedona,2010,17,240,38,6,78,69,202,17,FWD,7,4,Van,28
Kia,Sedona,2011,17,270,35,6,78,69,202,18,FWD,7,4,Van,29
Kia,Sedona,2012,17,270,35,6,78,69,202,18,FWD,7,4,Van,29
Kia,Sedona,2014,17,260,35,6,78,69,202,17,FWD,7,4,Van,30
Kia,Sedona,2015,18,270,33,6,78,69,201,18,FWD,8,4,Van,32
Kia,Sedona,2016,18,270,33,6,78,69,201,18,FWD,8,4,Van,32
Kia,Sedona,2017,18,270,33,6,78,69,201,18,FWD,8,4,Van,33
Kia,Sedona,2019,18,270,33,6,78,69,201,18,FWD,8,4,Van,33
Kia,Sedona,2020,18,270,33,6,78,69,201,18,FWD,8,4,Van,33
Kia,Sorento,2011,17,170,24,4,74,67,183,20,FWD,5,4,SUV,21
Kia,Sorento,2012,17,170,24,4,74,67,183,20,FWD,5,4,SUV,21
Kia,Sorento,2013,17,170,24,4,74,67,183,21,FWD,5,4,SUV,23
Kia,Sorento,2014,17,190,24,4,74,66,184,20,FWD,5,4,SUV,24
Kia,Sorento,2015,17,190,24,4,74,66,184,20,FWD,5,4,SUV,24
Kia,Sorento,2016,18,240,20,4,74,66,187,19,AWD,5,4,SUV,32
Kia,Sorento,2017,18,240,20,4,74,66,187,19,AWD,5,4,SUV,33
Kia,Sorento,2019,19,290,33,6,74,66,189,nan,AWD,7,4,SUV,36
Kia,Sorento,2020,19,290,33,6,74,66,189,18,AWD,7,4,SUV,37
Kia,Soul EV,2015,16,100,nan,nan,70,63,163,nan,FWD,5,4,4dr,33
Kia,Soul EV,2016,16,100,nan,nan,70,63,163,nan,FWD,5,4,4dr,33
Kia,Soul EV,2017,16,100,nan,nan,70,63,163,nan,FWD,5,4,4dr,33
Kia,Soul,2011,18,140,20,4,70,63,161,24,FWD,5,4,4dr,18
Kia,Soul,2012,18,160,20,4,70,63,161,23,FWD,5,4,4dr,19
Kia,Soul,2013,18,160,20,4,70,63,161,23,FWD,5,4,4dr,19
Kia,Soul,2014,18,160,20,4,70,63,163,23,FWD,5,4,4dr,20
Kia,Soul,2015,18,160,20,4,70,63,163,23,FWD,5,4,4dr,20
Kia,Soul,2016,17,160,20,4,70,63,163,24,FWD,5,4,4dr,21
Kia,Soul,2017,18,200,16,4,70,63,163,26,FWD,5,4,4dr,22
Kia,Soul,2019,18,200,16,4,70,63,163,26,FWD,5,4,4dr,22
Kia,Soul,2020,17,140,20,4,70,63,165,27,FWD,5,4,4dr,22
Kia,Sportage,2011,17,170,24,4,73,64,174,21,FWD,5,4,SUV,18
Kia,Sportage,2012,16,170,24,4,73,64,174,20,FWD,5,4,SUV,18
Kia,Sportage,2013,16,170,24,4,73,64,174,20,FWD,5,4,SUV,19
Kia,Sportage,2014,18,180,24,4,73,64,174,nan,FWD,5,4,SUV,25
Kia,Sportage,2015,18,180,24,4,73,64,174,21,FWD,5,4,SUV,25
Kia,Sportage,2016,18,180,24,4,73,64,174,19,AWD,5,4,SUV,26
Kia,Sportage,2017,18,180,24,4,73,65,176,21,AWD,5,4,SUV,27
Kia,Sportage,2019,18,180,24,4,73,65,176,21,AWD,5,4,SUV,28
Kia,Sportage,2020,18,180,24,4,73,65,176,22,AWD,5,4,SUV,28
Kia,Stinger,2019,18,250,20,4,73,55,190,21,AWD,5,4,4dr,35
Kia,Stinger,2020,19,360,33,6,73,55,190,17,AWD,5,4,4dr,41
Kia,Telluride,2020,18,290,38,6,78,69,196,19,AWD,8,4,SUV,39
Lamborghini,Aventador,2013,19,700,65,12,79,44,188,11,AWD,2,2,Convertible,441
Lamborghini,Aventador,2014,19,690,65,12,79,44,188,nan,AWD,2,2,Convertible,441
Lamborghini,Aventador,2015,19,690,65,12,79,44,188,10,AWD,2,2,Convertible,441
Lamborghini,Aventador,2016,19,690,65,12,79,44,188,10,AWD,2,2,Convertible,443
Lamborghini,Aventador,2019,20,720,65,12,79,44,188,nan,AWD,2,2,2dr,417
Lamborghini,Huracan,2015,20,600,52,10,75,45,175,14,AWD,2,2,2dr,237
Lamborghini,Huracan,2016,20,600,52,10,75,46,175,14,AWD,2,2,Convertible,262
Lamborghini,Huracan,2017,20,600,52,10,75,45,175,14,AWD,2,2,2dr,238
Lamborghini,Huracan,2019,20,630,52,10,75,45,177,13,AWD,2,2,2dr,281
Lamborghini,Urus,2019,21,640,40,8,79,64,201,12,AWD,5,4,SUV,200
Land Rover,Defender,2020,18,290,20,4,79,77,197,nan,4WD,5,4,SUV,49
Land Rover,Discovery Sport,2016,18,240,20,4,74,67,180,20,4WD,5,4,SUV,41
Land Rover,Discovery Sport,2017,18,240,20,4,74,67,180,20,4WD,5,4,SUV,42
Land Rover,Discovery Sport,2019,20,280,20,4,74,67,180,20,4WD,5,4,SUV,49
Land Rover,Discovery Sport,2020,20,280,20,4,75,68,181,nan,4WD,5,4,SUV,52
Land Rover,Discovery,1999,16,180,40,8,70,77,178,14,4WD,5,4,SUV,33
Land Rover,Discovery,2000,16,180,40,8,74,76,185,13,4WD,5,4,SUV,34
Land Rover,Discovery,2001,16,180,40,8,74,76,185,13,4WD,5,4,SUV,34
Land Rover,Discovery,2002,16,180,40,8,74,76,185,13,4WD,5,4,SUV,33
Land Rover,Discovery,2003,18,210,46,8,74,76,185,12,4WD,5,4,SUV,40
Land Rover,Discovery,2004,18,210,46,8,74,76,185,12,4WD,5,4,SUV,40
Land Rover,Discovery,2017,21,340,30,6,78,72,195,16,4WD,7,4,SUV,73
Land Rover,Discovery,2019,20,250,30,6,78,73,195,21,4WD,7,4,SUV,69
Land Rover,Discovery,2020,20,250,30,6,78,73,195,21,4WD,7,4,SUV,69
Land Rover,Range Rover Evoque,2012,19,240,20,4,77,63,171,18,AWD,5,2,SUV,44
Land Rover,Range Rover Evoque,2013,19,240,20,4,77,63,171,20,AWD,5,2,SUV,44
Land Rover,Range Rover Evoque,2014,20,240,20,4,74,63,171,21,4WD,5,2,SUV,57
Land Rover,Range Rover Evoque,2015,20,240,20,4,74,63,171,21,4WD,5,2,SUV,57
Land Rover,Range Rover Evoque,2016,19,240,20,4,74,64,172,21,4WD,5,2,SUV,53
Land Rover,Range Rover Evoque,2019,20,280,20,4,74,64,172,21,4WD,5,4,SUV,65
Land Rover,Range Rover Evoque,2020,20,240,20,4,75,64,172,20,AWD,5,4,SUV,56
Land Rover,Range Rover Sport,2011,19,370,50,8,76,71,188,12,4WD,5,4,SUV,59
Land Rover,Range Rover Sport,2012,19,370,50,8,76,71,188,13,4WD,5,4,SUV,60
Land Rover,Range Rover Sport,2013,19,370,50,8,76,71,188,13,4WD,5,4,SUV,60
Land Rover,Range Rover Sport,2014,21,510,50,8,78,70,191,14,4WD,5,4,SUV,92
Land Rover,Range Rover Sport,2015,21,510,50,8,78,70,191,14,4WD,5,4,SUV,92
Land Rover,Range Rover Sport,2016,20,250,30,6,78,70,191,22,4WD,5,4,SUV,71
Land Rover,Range Rover Sport,2017,20,250,30,6,78,70,191,22,4WD,5,4,SUV,72
Land Rover,Range Rover Sport,2019,20,390,20,4,78,71,192,nan,4WD,5,4,SUV,79
Land Rover,Range Rover Sport,2020,21,390,20,4,78,71,192,nan,4WD,5,4,SUV,88
Land Rover,Range Rover Velar,2019,19,180,20,4,76,65,188,26,4WD,5,4,SUV,56
Land Rover,Range Rover Velar,2020,19,240,20,4,76,65,188,21,4WD,5,4,SUV,58
Land Rover,Range Rover,2011,19,370,50,8,80,73,195,12,4WD,5,4,SUV,78
Land Rover,Range Rover,2012,19,380,50,8,80,73,195,12,4WD,5,4,SUV,79
Land Rover,Range Rover,2013,19,370,50,8,78,72,196,14,4WD,5,4,SUV,82
Land Rover,Range Rover,2014,19,340,30,6,78,72,196,17,4WD,5,4,SUV,83
Land Rover,Range Rover,2015,19,340,30,6,78,72,196,17,4WD,5,4,SUV,83
Land Rover,Range Rover,2016,19,340,30,6,78,72,196,17,4WD,5,4,SUV,84
Land Rover,Range Rover,2017,20,250,30,6,78,72,196,22,4WD,5,4,SUV,94
Land Rover,Range Rover,2019,20,390,20,4,78,73,196,nan,4WD,5,4,SUV,95
Land Rover,Range Rover,2020,21,510,50,8,78,73,207,16,4WD,5,4,SUV,150
Lexus,ES,2011,17,270,35,6,71,56,191,19,FWD,5,4,4dr,36
Lexus,ES,2012,17,260,35,6,71,56,191,19,FWD,5,4,4dr,36
Lexus,ES,2013,17,260,35,6,71,57,192,21,FWD,5,4,4dr,36
Lexus,ES,2014,17,200,25,4,71,57,192,40,FWD,5,4,4dr,39
Lexus,ES,2015,17,200,25,4,71,57,192,40,FWD,5,4,4dr,40
Lexus,ES,2016,17,200,25,4,71,57,193,40,FWD,5,4,4dr,41
Lexus,ES,2017,17,200,25,4,71,57,193,40,FWD,5,4,4dr,41
Lexus,ES,2019,17,210,25,4,73,56,195,43,FWD,5,4,4dr,41
Lexus,ES,2020,17,210,25,4,73,56,195,43,FWD,5,4,4dr,41
Lexus,GS,2010,17,300,35,6,71,56,190,18,AWD,5,4,4dr,47
Lexus,GS,2011,17,300,35,6,71,56,190,18,AWD,5,4,4dr,48
Lexus,GS,2013,17,300,35,6,72,57,190,19,AWD,5,4,4dr,49
Lexus,GS,2014,17,300,35,6,72,57,190,19,AWD,5,4,4dr,49
Lexus,GS,2015,19,300,35,6,72,57,190,19,AWD,5,4,4dr,57
Lexus,GS,2016,19,240,20,4,72,57,192,21,RWD,5,4,4dr,45
Lexus,GS,2017,18,310,35,6,72,57,192,19,AWD,5,4,4dr,50
Lexus,GS,2020,18,310,35,6,72,57,192,19,AWD,5,4,4dr,51
Lexus,GX,2011,18,300,46,8,74,72,189,15,4WD,7,4,SUV,53
Lexus,GX,2012,18,300,46,8,74,74,189,15,4WD,7,4,SUV,53
Lexus,GX,2013,18,300,46,8,74,74,189,15,4WD,7,4,SUV,53
Lexus,GX,2014,18,300,46,8,74,74,189,15,4WD,7,4,SUV,49
Lexus,GX,2015,18,300,46,8,74,74,192,15,4WD,7,4,SUV,49
Lexus,GX,2016,18,300,46,8,74,74,192,15,4WD,7,4,SUV,50
Lexus,GX,2017,18,300,46,8,74,74,192,15,4WD,7,4,SUV,51
Lexus,GX,2019,18,300,46,8,74,74,189,15,4WD,7,4,SUV,52
Lexus,GX,2020,18,300,46,8,74,74,192,15,4WD,7,4,SUV,53
Lexus,IS,2011,17,200,25,6,70,56,180,20,AWD,5,4,4dr,36
Lexus,IS,2012,17,200,25,6,70,56,180,20,AWD,5,4,4dr,37
Lexus,IS,2013,17,200,25,6,70,56,180,21,AWD,5,4,4dr,37
Lexus,IS,2014,17,200,25,6,71,56,183,20,AWD,5,4,4dr,38
Lexus,IS,2015,17,200,25,6,71,56,183,20,AWD,5,4,4dr,39
Lexus,IS,2016,17,240,20,4,71,56,183,22,RWD,5,4,4dr,37
Lexus,IS,2017,17,250,35,6,71,56,183,19,AWD,5,4,4dr,40
Lexus,IS,2019,17,260,35,6,71,56,184,19,AWD,5,4,4dr,41
Lexus,IS,2020,17,260,35,6,71,56,184,18,AWD,5,4,4dr,41
Lexus,LC,2019,20,470,50,8,75,53,187,16,RWD,4,2,2dr,92
Lexus,LS,2011,18,350,46,8,73,58,199,16,AWD,5,4,4dr,69
Lexus,LS,2012,18,350,46,8,73,58,199,16,AWD,5,4,4dr,69
Lexus,LS,2013,18,360,46,8,73,58,200,16,AWD,5,4,4dr,74
Lexus,LS,2014,18,360,46,8,73,58,200,16,AWD,5,4,4dr,75
Lexus,LS,2015,18,360,46,8,73,58,200,16,AWD,5,4,4dr,75
Lexus,LS,2016,18,360,46,8,73,58,200,16,AWD,5,4,4dr,75
Lexus,LS,2017,18,360,46,8,73,58,200,16,AWD,5,4,4dr,75
Lexus,LS,2019,19,410,35,6,74,57,206,18,AWD,5,4,4dr,78
Lexus,LS,2020,19,410,35,6,74,57,206,nan,AWD,5,4,4dr,78
Lexus,LX,2010,20,380,57,8,77,75,196,12,4WD,8,4,SUV,76
Lexus,LX,2011,20,380,57,8,77,75,196,12,4WD,8,4,SUV,79
Lexus,LX,2013,20,380,57,8,77,75,197,12,4WD,8,4,SUV,81
Lexus,LX,2014,20,380,57,8,77,73,197,12,4WD,8,4,SUV,82
Lexus,LX,2015,20,380,57,8,77,73,197,12,4WD,8,4,SUV,83
Lexus,LX,2016,20,380,57,8,78,73,199,13,4WD,8,4,SUV,88
Lexus,LX,2017,20,380,57,8,78,73,199,13,4WD,8,4,SUV,89
Lexus,LX,2019,20,380,57,8,78,75,200,13,4WD,8,4,SUV,91
Lexus,NX,2015,17,230,20,4,73,64,182,22,AWD,5,4,SUV,35
Lexus,NX,2016,17,230,20,4,73,64,182,22,AWD,5,4,SUV,36
Lexus,NX,2017,17,190,25,4,73,64,182,33,AWD,5,4,SUV,39
Lexus,NX,2019,17,230,20,4,73,64,182,22,AWD,5,4,SUV,37
Lexus,NX,2020,17,230,20,4,73,64,182,22,AWD,5,4,SUV,38
Lexus,RC,2015,18,300,35,6,72,55,184,19,AWD,4,2,2dr,45
Lexus,RC,2016,18,240,20,4,72,54,184,22,RWD,4,2,2dr,39
Lexus,RC,2017,18,250,35,6,72,55,184,19,AWD,4,2,2dr,42
Lexus,RC,2019,18,260,35,6,72,55,184,18,AWD,4,2,2dr,43
Lexus,RC,2020,18,260,35,6,72,55,184,18,AWD,4,2,2dr,43
Lexus,RX,2011,18,270,35,6,74,66,187,18,AWD,5,4,SUV,40
Lexus,RX,2012,18,270,35,6,74,67,187,18,AWD,5,4,SUV,40
Lexus,RX,2013,18,270,35,6,74,67,187,18,AWD,5,4,SUV,41
Lexus,RX,2014,18,270,35,6,74,66,187,18,AWD,5,4,SUV,41
Lexus,RX,2015,18,270,35,6,74,66,187,18,AWD,5,4,SUV,42
Lexus,RX,2016,18,290,35,6,74,67,192,19,AWD,5,4,SUV,43
Lexus,RX,2017,18,290,35,6,74,67,192,19,AWD,5,4,SUV,44
Lexus,RX,2019,18,290,35,6,74,67,192,19,AWD,5,4,SUV,45
Lexus,RX,2020,18,290,35,6,74,67,192,19,AWD,5,4,SUV,45
Lexus,UX,2019,18,160,20,4,72,60,177,29,FWD,5,4,SUV,34
Lexus,UX,2020,18,160,20,4,72,60,177,29,FWD,5,4,SUV,34
Lincoln,Aviator,2003,17,300,46,8,73,70,193,13,RWD,6,4,SUV,39
Lincoln,Aviator,2004,17,300,46,8,73,70,193,13,RWD,6,4,SUV,40
Lincoln,Aviator,2005,17,300,46,8,73,71,193,13,RWD,6,4,SUV,40
Lincoln,Aviator,2019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lincoln,Aviator,2020,22,400,30,6,82,69,199,17,AWD,6,4,SUV,77
Lincoln,Continental,1997,16,260,46,8,73,56,206,17,FWD,5,4,4dr,37
Lincoln,Continental,1998,16,260,46,8,73,56,208,17,FWD,5,4,4dr,37
Lincoln,Continental,1999,16,270,46,8,73,56,208,17,FWD,5,4,4dr,38
Lincoln,Continental,2000,16,270,46,8,73,56,208,17,FWD,5,4,4dr,39
Lincoln,Continental,2001,16,270,46,8,73,56,208,17,FWD,6,4,4dr,39
Lincoln,Continental,2002,16,270,46,8,73,56,208,17,FWD,6,4,4dr,38
Lincoln,Continental,2017,20,330,27,6,75,58,201,17,AWD,5,4,4dr,65
Lincoln,Continental,2019,20,330,27,6,75,58,201,17,AWD,5,4,4dr,72
Lincoln,Continental,2020,20,400,30,6,75,58,201,16,AWD,5,4,4dr,75
Lincoln,Corsair,2020,19,250,20,4,74,64,180,21,AWD,5,4,SUV,44
Lincoln,MKC,2015,18,240,20,4,73,65,179,19,AWD,5,4,SUV,35
Lincoln,MKC,2016,19,240,20,4,73,65,179,19,AWD,5,4,SUV,48
Lincoln,MKC,2017,19,240,20,4,73,65,179,19,AWD,5,4,SUV,48
Lincoln,MKC,2019,19,240,20,4,73,65,179,19,AWD,5,4,SUV,49
Lincoln,MKT,2010,20,350,35,6,76,67,207,16,AWD,7,4,4dr,49
Lincoln,MKT,2011,20,350,35,6,76,67,207,16,AWD,7,4,4dr,49
Lincoln,MKT,2012,19,350,35,6,76,67,207,16,AWD,7,4,4dr,46
Lincoln,MKT,2013,19,360,35,6,76,67,207,16,AWD,7,4,4dr,47
Lincoln,MKT,2014,19,360,35,6,76,67,207,16,AWD,7,4,SUV,45
Lincoln,MKT,2015,19,360,35,6,76,67,207,16,AWD,7,4,SUV,45
Lincoln,MKT,2016,19,360,35,6,76,67,207,15,AWD,7,4,SUV,45
Lincoln,MKT,2017,19,360,35,6,76,67,207,15,AWD,7,4,SUV,49
Lincoln,MKT,2019,20,360,35,6,76,67,207,15,AWD,7,4,SUV,52
Lincoln,MKZ,2011,17,260,35,6,72,56,189,17,AWD,5,4,4dr,36
Lincoln,MKZ,2012,17,260,35,6,72,56,189,17,AWD,5,4,4dr,36
Lincoln,MKZ,2013,18,240,20,4,73,58,194,22,AWD,5,4,4dr,37
Lincoln,MKZ,2014,18,240,20,4,73,58,194,22,AWD,5,4,4dr,37
Lincoln,MKZ,2015,18,240,20,4,73,58,194,22,AWD,5,4,4dr,37
Lincoln,MKZ,2016,18,240,20,4,73,58,194,22,AWD,5,4,4dr,37
Lincoln,MKZ,2017,19,240,20,4,73,58,194,20,AWD,5,4,4dr,49
Lincoln,MKZ,2019,18,180,20,4,73,58,194,42,FWD,5,4,4dr,38
Lincoln,MKZ,2020,19,180,20,4,73,58,194,42,FWD,5,4,4dr,42
Lincoln,Nautilus,2019,21,240,20,4,76,66,190,20,AWD,5,4,SUV,59
Lincoln,Nautilus,2020,21,330,27,6,76,66,190,19,AWD,5,4,SUV,63
Lincoln,Navigator,2011,18,310,54,8,78,78,208,14,RWD,7,4,SUV,57
Lincoln,Navigator,2012,18,310,54,8,78,78,208,14,RWD,7,4,SUV,57
Lincoln,Navigator,2013,18,310,54,8,78,78,nan,14,RWD,7,4,SUV,57
Lincoln,Navigator,2014,18,310,54,8,78,78,206,14,RWD,7,4,SUV,56
Lincoln,Navigator,2015,20,380,35,6,78,78,207,16,RWD,7,4,SUV,61
Lincoln,Navigator,2016,22,380,35,6,78,78,207,16,RWD,7,4,SUV,71
Lincoln,Navigator,2017,22,380,35,6,78,78,207,15,RWD,7,4,SUV,71
Lincoln,Navigator,2019,22,450,35,6,79,76,210,16,4WD,7,4,SUV,96
